0;0;7.3;0;15;1.46694;270;100;0
0;0;7.2;0;48;1.36868;0;100;0
0;0;6.8;0;43;1.37783;0;100;0
0;0;6.1;0;33;1.50893;0;100;0
0;0;6;0;17;1.60647;0;100;0
0;0;5;0;42;1.59132;0;100;109.05
79.2022;2.2;6.2;1;26;2.22616;0;100;1419.96
168.447;1.8;10.8;1;71;1.5;100;100;2453.36
342.707;2.9;13.4;1;53;3.87951;140;98;1970.46
454.986;3.5;16.3;1;53;3.86861;180;90;1730.41
488.875;3.5;17.7;1;63;2.1;220;77;2116.27
489.747;3.4;19.8;1;67;3.1;210;64;2320.28
145.145;1.9;20.2;1;100;2.6;210;67;1557.85
126.15;1.7;19.8;1;100;3.1;250;71;1425.11
106.234;1.4;20.5;1;99;2.6;200;70;509.24
59.55;1.1;19.3;1;100;1.5;210;77;284.23
8.343;0.8;17.6;1;100;2.65305;208;93;0
0;0;15.8;0;100;1.98712;206;98;0
0;0;15.8;0;100;2.01134;204;98;0
0;0;15.5;0;100;1.54347;202;100;0
0;0;16.5;0;100;1.5;200;98;0
0;0;16.5;0;99;2.1;240;98;0
0;0;15;0;100;1.5;210;98;0
0;0;13.9;0;100;2.48497;200;100;0
0;0;16;0;100;2.6;190;93;0
0;0;15;0;100;2.1;220;100;0
0;0;15;0;100;3.1;210;100;0
0;0;14.7;0;100;2.6;220;100;0
0;0;14.3;0;100;1.5;220;100;0
0;0;14;0;100;4.02902;210;100;0
7.627;0.8;13.9;1;100;1.5;200;100;0
22.971;1.1;13.9;1;100;3.6;240;100;174.6
37.746;1.4;14;1;100;2.6;240;98;900.48
49.657;1.7;14;1;100;3.6;240;100;1358.59
57.345;1.9;14.5;1;100;3.1;230;98;1796.41
60.025;2;16;1;100;4.1;260;93;1519.19
57.431;1.9;15;1;100;3.1;240;98;371.5
49.817;1.7;12.6;1;100;3.1;290;100;566.66
37.958;1.4;10.9;1;100;5.1;320;100;399.68
30.2157;1.1;10.3;1;99;5.66171;311;100;0.91
7.821;0.8;9.7;1;100;3.76116;303;100;0
