0;0;7.3;0;15;100;0
0;0;7.2;0;48;100;0
0;0;6.8;0;43;100;0
0;0;6.1;0;33;100;0
0;0;6;0;17;100;0
0;0;5;0;42;100;109.05
79.2022;2.2;6.2;1;26;100;1419.96
168.447;1.8;10.8;1;71;100;2453.36
342.707;2.9;13.4;1;53;98;1970.46
454.986;3.5;16.3;1;53;90;1730.41
488.875;3.5;17.7;1;63;77;2116.27
489.747;3.4;19.8;1;67;64;2320.28
145.145;1.9;20.2;1;100;67;1557.85
126.15;1.7;19.8;1;100;71;1425.11
106.234;1.4;20.5;1;99;70;509.24
59.55;1.1;19.3;1;100;77;284.23
8.343;0.8;17.6;1;100;93;0
0;0;15.8;0;100;98;0
0;0;15.8;0;100;98;0
0;0;15.5;0;100;100;0
0;0;16.5;0;100;98;0
0;0;16.5;0;99;98;0
0;0;15;0;100;98;0
0;0;13.9;0;100;100;0
0;0;16;0;100;93;0
0;0;15;0;100;100;0
0;0;15;0;100;100;0
0;0;14.7;0;100;100;0
0;0;14.3;0;100;100;0
0;0;14;0;100;100;0
7.627;0.8;13.9;1;100;100;0
22.971;1.1;13.9;1;100;100;174.6
37.746;1.4;14;1;100;98;900.48
49.657;1.7;14;1;100;100;1358.59
57.345;1.9;14.5;1;100;98;1796.41
60.025;2;16;1;100;93;1519.19
57.431;1.9;15;1;100;98;371.5
49.817;1.7;12.6;1;100;100;566.66
37.958;1.4;10.9;1;100;100;399.68
30.2157;1.1;10.3;1;99;100;0.91
7.821;0.8;9.7;1;100;100;0
0;0;9.1;0;77;100;0
0;0;8.5;0;63;100;0
0;0;7.9;0;37;100;0
0;0;7.3;0;76;100;0
0;0;6.3;0;12;100;0
0;0;5.5;0;0;100;0
0;0;5.3;0;46;100;0
0;0;5.1;0;31;100;0
0;0;5.3;0;49;99;0
0;0;5.2;0;80;99;0
0;0;5.2;0;70;99;0
0;0;5.1;0;64;99;0
0;0;5.5;0;86;99;0
50.202;1.3;6;1;73;99;0
113.148;1.5;6.4;1;84;99;378.25
59.4954;1.4;6.6;1;98;99;599.82
92.6059;1.8;7.3;1;97;99;1312.09
107.037;2;8.2;1;97;99;318.53
59.421;1.9;8.6;1;100;98;1027.91
138.618;2.1;10.1;1;95;98;1351.45
64.0415;1.7;10.2;1;99;98;149.77
37.315;1.4;10.2;1;100;96;124.65
29.4135;1.1;9.8;1;99;98;0
7.307;0.8;9.4;1;100;98;0
0;0;9.1;0;95;98;0
0;0;7.5;0;84;99;0
0;0;6.3;0;45;100;0
0;0;5.6;0;46;100;0
0;0;5.7;0;79;100;0
0;0;7;0;80;99;0
0;0;6.2;0;100;100;0
0;0;6.1;0;100;100;0
